Title,Release Date,Color/B&W,Genre,Language,Country,Rating,Lead Actor,Director Name,Lead Actor FB Likes,Cast FB Likes,Director FB Likes,Movie FB Likes,IMDb Score (1-10),Total Reviews,Duration (min),Gross Revenue,Budget
The Reaping,22-08-2007,Color,Horror,English,USA,Over 18,Stephen Rea,Stephen Hopkins,327,960,81,0,5.7,190.0,99,25117498,40000000
The Simpsons Movie,22-08-2007,Color,Adventure,English,USA,Teens,Albert Brooks,David Silverman,745,3086,30,0,7.4,299.0,87,183132370,75000000
The Ten,26-05-2007,Color,Comedy,English,USA,Over 18,Jon Hamm,David Wain,4000,4883,136,915,5.0,65.0,96,766487,5250000
The Warlords,15-04-2007,Color,Action,Mandarin,Hong Kong,Over 18,Jet Li,Peter Ho-Sun Chan,5000,6267,31,0,7.1,106.0,113,128978,40000000
There Will Be Blood,19-08-2007,Color,Drama,English,USA,Over 18,Jim Meskimen,Paul Thomas Anderson,272,533,0,16000,8.1,398.0,158,40218903,25000000
Things We Lost in the Fire,08-03-2007,Color,Drama,English,USA,Over 18,Alison Lohman,Susanne Bier,1000,1889,369,0,7.2,146.0,118,2849142,16000000
This Christmas,20-02-2007,Color,Comedy,English,USA,Teens,Mekhi Phifer,Preston A. Whitmore II,1000,6554,17,0,6.1,37.0,117,49121934,13000000
Timecrimes,20-06-2007,Color,Horror,Spanish,Spain,Over 18,Karra Elejalde,Nacho Vigalondo,123,239,76,0,7.2,173.0,66,38108,2600000
TMNT,06-10-2007,Color,Action,English,Hong Kong,Parental Guidance,Chris Evans,Kevin Munroe,11000,16571,14,0,6.3,191.0,87,54132596,34000000
Trade,25-02-2007,Color,Crime,English,Germany,Over 18,Zack Ward,Marco Kreuzpaintner,662,1952,7,0,7.5,69.0,120,214202,12000000
Transformers,13-09-2007,Color,Action,English,USA,Teens,Zack Ward,Michael Bay,662,2333,0,8000,7.1,396.0,144,318759914,150000000
Waitress,21-12-2007,Color,Comedy,English,USA,Teens,Lew Temple,Adrienne Shelly,597,1981,191,0,7.1,173.0,108,19067631,2000000
Walk Hard: The Dewey Cox Story,30-08-2007,Color,Comedy,English,USA,Over 18,Tim Meadows,Jake Kasdan,553,1082,52,0,6.7,171.0,120,18317151,35000000
War,05-03-2007,Color,Action,English,USA,Over 18,Jason Statham,Philip G. Atwell,26000,33565,5,0,6.3,119.0,103,22466994,25000000
We Own the Night,13-04-2007,Color,Crime,English,USA,Over 18,Robert Duvall,James Gray,3000,3681,115,0,6.9,222.0,117,28563179,21000000
When Did You Last See Your Father?,25-11-2007,Color,Biography,English,UK,Teens,Colin Firth,Anand Tucker,14000,15848,14,429,6.9,90.0,92,1071240,8000000
Who's Your Caddy?,01-12-2007,Color,Comedy,English,USA,Teens,Jeffrey Jones,Don Michael Paul,692,3128,70,446,2.0,25.0,93,5694308,7000000
Why Did I Get Married?,21-09-2007,Color,Comedy,English,USA,Teens,Michael Jai White,Tyler Perry,2000,6510,0,1000,5.6,41.0,113,55184721,15000000
You Kill Me,05-02-2007,Color,Comedy,English,USA,Over 18,Philip Baker Hall,John Dahl,497,776,131,830,6.5,121.0,93,2426851,4000000
Zodiac,15-04-2007,Color,Crime,English,USA,Over 18,Robert Downey Jr.,David Fincher,21000,36928,21000,12000,7.7,377.0,162,33048353,65000000
21,12-09-2008,Color,Crime,English,USA,Teens,Kevin Spacey,Robert Luketic,18000,25661,126,0,6.8,144.0,123,81159365,35000000
27 Dresses,02-12-2008,Color,Comedy,English,USA,Teens,Judy Greer,Anne Fletcher,2000,2978,98,0,6.1,175.0,111,76806312,30000000
An American Carol,17-05-2008,Color,Comedy,English,USA,Teens,Chriss Anglin,David Zucker,885,2907,119,797,4.3,45.0,83,7001720,12000000
Australia,19-12-2008,Color,Adventure,English,Australia,Teens,Essie Davis,Baz Luhrmann,309,921,1000,0,6.6,245.0,165,49551662,130000000
Baby Mama,16-07-2008,Color,Comedy,English,USA,Teens,Tina Fey,Michael McCullers,2000,6930,5,0,6.0,145.0,99,60269340,30000000
Babylon A.D.,02-06-2008,Color,Action,English,France,Teens,Vin Diesel,Mathieu Kassovitz,14000,15990,326,0,5.6,164.0,101,22531698,70000000
Bangkok Dangerous,26-12-2008,Color,Action,English,USA,Over 18,Nicolas Cage,Danny Pang,12000,12166,15,0,5.4,125.0,99,15279680,40000000
Be Kind Rewind,01-05-2008,Color,Comedy,English,UK,Teens,Quinton Aaron,Michel Gondry,734,1778,1000,0,6.4,248.0,102,11169531,20000000
Bedtime Stories,24-08-2008,Color,Comedy,English,USA,Parental Guidance,Adam Sandler,Adam Shankman,11000,12831,163,0,6.1,144.0,99,109993847,80000000
Beverly Hills Chihuahua,03-04-2008,Color,Adventure,English,USA,Parental Guidance,Jamie Lee Curtis,Raja Gosnell,2000,4729,67,0,3.7,100.0,91,94497271,20000000
Blindness,11-09-2008,Color,Drama,English,Canada,Over 18,Don McKellar,Fernando Meirelles,45,142,353,0,6.6,229.0,121,3073392,25000000
Body of Lies,30-05-2008,Color,Action,English,USA,Over 18,Leonardo DiCaprio,Ridley Scott,29000,29824,0,0,7.1,238.0,128,39380442,70000000
Bolt,01-11-2008,Color,Adventure,English,USA,Parental Guidance,ChloÃ« Grace Moretz,Byron Howard,17000,20007,59,0,6.9,225.0,96,114053579,150000000
Bottle Shock,07-10-2008,Color,Comedy,English,USA,Teens,Alan Rickman,Randall Miller,25000,25676,19,0,6.8,109.0,110,4040588,5000000
Burn After Reading,09-03-2008,Color,Comedy,English,USA,Over 18,J.K. Simmons,Ethan Coen,24000,36093,1000,0,7.0,341.0,96,60338891,37000000
Cadillac Records,22-12-2008,Color,Biography,English,USA,Over 18,Cedric the Entertainer,Darnell Martin,436,1141,67,0,7.0,81.0,109,8134217,12000000
Call + Response,07-09-2008,Color,Documentary,English,USA,Teens,Matisyahu,Justin Dillon,178,279,0,26,7.5,7.0,86,215185,200000
Changeling,18-02-2008,Color,Crime,English,USA,Over 18,Angelina Jolie Pitt,Clint Eastwood,11000,12840,16000,14000,7.8,264.0,141,35707327,55000000
Choke,24-09-2008,Color,Comedy,English,USA,Over 18,Anjelica Huston,Clark Gregg,1000,3608,0,0,6.5,159.0,92,2926565,3000000
City of Ember,13-10-2008,Color,Adventure,English,USA,Parental Guidance,Bill Murray,Gil Kenan,13000,15494,27,0,6.5,118.0,90,7871693,55000000
Cloverfield,11-10-2008,Color,Action,English,USA,Teens,Mike Vogel,Matt Reeves,2000,3958,198,0,7.0,459.0,85,80034302,25000000
College,09-06-2008,Color,Comedy,English,USA,Over 18,Drake Bell,Deb Hagan,1000,4484,0,422,4.6,42.0,94,4693919,6500000
Death Race,10-12-2008,Color,Action,English,USA,Over 18,Jason Statham,Paul W.S. Anderson,26000,28643,545,0,6.4,230.0,111,36064910,45000000
Delgo,17-08-2008,Color,Adventure,English,USA,Parental Guidance,Eric Idle,Marc F. Adler,795,2449,0,211,4.4,41.0,94,511920,40000000
Disaster Movie,22-02-2008,Color,Comedy,English,USA,Teens,Carmen Electra,Jason Friedberg,869,2857,82,0,1.9,111.0,88,14174654,25000000
Donkey Punch,29-10-2008,Color,Crime,English,UK,Over 18,Julian Morris,Oliver Blackburn,1000,1558,4,0,5.2,114.0,99,18378,900000
Doomsday,19-02-2008,Color,Action,English,UK,Over 18,Ryan Kruger,Neil Marshall,165,391,197,0,6.0,254.0,113,10955425,30000000
Doubt,01-02-2008,Color,Drama,English,USA,Teens,Philip Seymour Hoffman,John Patrick Shanley,22000,33903,53,0,7.5,293.0,104,33422556,20000000
Drillbit Taylor,12-09-2008,Color,Comedy,English,USA,Teens,Lisa Ann Walter,Steven Brill,1000,3239,65,702,5.7,146.0,102,32853640,40000000
Eagle Eye,02-12-2008,Color,Action,English,USA,Teens,Rosario Dawson,D.J. Caruso,3000,5637,154,0,6.6,215.0,118,101111837,80000000
Fireproof,19-05-2008,Color,Drama,English,USA,Parental Guidance,Kirk Cameron,Alex Kendrick,848,1164,589,0,6.5,50.0,122,33451479,500000
Flame and Citron,15-04-2008,Color,Drama,Danish,Denmark,Unrated,Lars Mikkelsen,Ole Christian Madsen,573,1098,28,0,7.3,80.0,45,145109,45000000
Flash of Genius,13-01-2008,Color,Biography,English,USA,Teens,Dylan Authors,Marc Abraham,20,64,18,0,7.0,99.0,119,4234040,20000000
Fool's Gold,25-05-2008,Color,Action,English,USA,Teens,Matthew McConaughey,Andy Tennant,11000,13827,72,0,5.6,176.0,112,70224196,70000000
Forgetting Sarah Marshall,30-03-2008,Color,Comedy,English,USA,Over 18,Mila Kunis,Nicholas Stoller,15000,16758,89,0,7.2,253.0,118,62877175,30000000
Four Christmases,23-07-2008,Color,Comedy,English,Germany,Teens,Jon Favreau,Seth Gordon,4000,9913,91,0,5.6,141.0,88,120136047,80000000
Frost/Nixon,13-12-2008,Color,Drama,English,USA,Over 18,Toby Jones,Ron Howard,2000,6161,2000,0,7.7,302.0,122,18593156,35000000
Frozen River,19-01-2008,Color,Crime,English,USA,Over 18,Charlie McDermott,Courtney Hunt,496,994,33,0,7.2,181.0,97,2508841,1000000
Fuel,30-12-2008,Color,Documentary,English,USA,Unrated,Larry David,Joshua Tickell,860,1252,9,588,7.6,14.0,112,173783,2500000
Gangster's Paradise: Jerusalema,30-05-2008,Color,Action,English,South Africa,Over 18,Rapulana Seiphemo,Ralph Ziman,29,86,5,1000,7.8,30.0,119,4958,2000000
Get Smart,23-05-2008,Color,Action,English,USA,Teens,Bill Murray,Peter Segal,13000,44798,88,0,6.5,265.0,110,130313314,80000000
Ghost Town,01-04-2008,Color,Comedy,English,USA,Teens,Aasif Mandvi,David Koepp,346,500,192,0,6.7,210.0,102,13214030,20000000
Good,23-02-2008,Color,Drama,English,UK,Over 18,Viggo Mortensen,Vicente Amorim,10000,11091,6,921,6.2,67.0,92,23091,15000000
Gran Torino,07-02-2008,Color,Drama,English,USA,Over 18,Clint Eastwood,Clint Eastwood,16000,17347,16000,28000,8.2,366.0,116,148085755,33000000
Hamlet 2,14-04-2008,Color,Comedy,English,USA,Over 18,Steve Coogan,Andrew Fleming,1000,3767,26,1000,6.4,129.0,92,4881867,9000000
Hancock,28-11-2008,Color,Action,English,USA,Teens,Will Smith,Peter Berg,10000,21584,532,0,6.4,318.0,102,227946274,150000000
Harold & Kumar Escape from Guantanamo Bay,30-12-2008,Color,Adventure,English,USA,Over 18,Danneel Ackles,Jon Hurwitz,1000,4065,22,0,6.6,153.0,102,38087366,12000000
Hellboy II: The Golden Army,24-02-2008,Color,Action,English,USA,Teens,Seth MacFarlane,Guillermo del Toro,3000,3632,0,3000,7.0,345.0,120,75754670,85000000
High School Musical 3: Senior Year,09-09-2008,Color,Comedy,English,USA,General,Lucas Grabeel,Kenny Ortega,755,3507,197,0,4.5,128.0,112,90556401,11000000
How to Lose Friends & Alienate People,26-04-2008,Color,Comedy,English,UK,Over 18,James Corden,Robert B. Weide,480,858,53,0,6.5,135.0,110,2775593,27000000
In Bruges,21-03-2008,Color,Comedy,English,UK,Over 18,Elizabeth Berrington,Martin McDonagh,65,173,454,32000,8.0,300.0,107,7757130,15000000
Indiana Jones and the Kingdom of the Crystal Skull,26-12-2008,Color,Action,English,USA,Teens,Harrison Ford,Steven Spielberg,11000,14959,14000,5000,6.2,470.0,122,317011114,185000000
Inkheart,11-02-2008,Color,Adventure,English,Germany,Parental Guidance,Brendan Fraser,Iain Softley,3000,5329,34,0,6.1,161.0,106,17281832,60000000
Iron Man,23-06-2008,Color,Action,English,USA,Teens,Robert Downey Jr.,Jon Favreau,21000,39252,4000,10000,7.9,486.0,126,318298180,140000000
Journey to the Center of the Earth,03-05-2008,Color,Action,English,USA,Parental Guidance,Josh Hutcherson,Eric Brevig,14000,17925,40,0,5.8,201.0,93,101702060,45000000
Jumper,02-12-2008,Color,Action,English,USA,Teens,Kristen Stewart,Doug Liman,17000,21863,218,0,6.1,238.0,88,80170146,85000000
Kit Kittredge: An American Girl,30-11-2008,Color,Drama,English,USA,General,Julia Ormond,Patricia Rozema,918,3317,22,851,6.7,73.0,101,17655201,10000000
Kung Fu Panda,16-02-2008,Color,Action,English,USA,Parental Guidance,Angelina Jolie Pitt,Mark Osborne,11000,12754,54,6000,7.6,266.0,92,215395021,130000000
Lakeview Terrace,04-04-2008,Color,Crime,English,USA,Teens,Jay Hernandez,Neil LaBute,1000,2382,119,0,6.1,165.0,110,39263506,22000000
Leatherheads,17-05-2008,Color,Comedy,English,USA,Teens,Robert Baker,George Clooney,142,589,0,472,6.0,186.0,114,31199215,58000000
"Lovely, Still",25-09-2008,Color,Drama,English,USA,Parental Guidance,Adam Scott,Nicholas Fackler,3000,4987,6,777,7.3,27.0,90,124720,5000000
Mad Money,20-06-2008,Color,Comedy,English,USA,Teens,Stephen Root,Callie Khouri,939,2453,144,687,5.8,98.0,104,20668843,22000000
Madagascar: Escape 2 Africa,09-12-2008,Color,Action,English,USA,Parental Guidance,Bernie Mac,Eric Darnell,1000,3285,35,0,6.7,167.0,89,179982968,150000000
Made of Honor,19-05-2008,Color,Comedy,English,USA,Teens,Busy Philipps,Paul Weiland,1000,4298,10,3000,5.8,128.0,101,46012734,40000000
Mamma Mia!,04-07-2008,Color,Comedy,English,USA,Teens,Colin Firth,Phyllida Lloyd,14000,26002,58,10000,6.3,238.0,108,143704210,52000000
Man on Wire,10-11-2008,Color,Biography,English,UK,Teens,Paul McGill,James Marsh,41,68,120,0,7.8,194.0,90,2957978,1000000
Marley & Me,13-05-2008,Color,Comedy,English,USA,Parental Guidance,Eric Dane,David Frankel,2000,4811,64,11000,7.1,180.0,115,143151473,60000000
Max Payne,23-01-2008,Color,Action,English,Canada,Teens,Mila Kunis,John Moore,15000,16249,212,0,5.4,228.0,103,40687294,35000000
Me and Orson Welles,09-01-2008,Color,Drama,English,UK,Teens,Zoe Kazan,Richard Linklater,962,1591,0,0,6.8,160.0,107,1186957,25000000
Meet Dave,09-02-2008,Color,Adventure,English,USA,Parental Guidance,Marc Blucas,Brian Robbins,973,1865,48,791,4.9,127.0,90,11802056,60000000
Meet the Spartans,09-05-2008,Color,Comedy,English,USA,Teens,Carmen Electra,Jason Friedberg,869,3854,82,0,2.7,111.0,86,38232624,30000000
Milk,10-04-2008,Color,Biography,English,USA,Over 18,James Franco,Gus Van Sant,11000,13189,835,10000,7.6,324.0,128,31838002,20000000
Miracle at St. Anna,16-08-2008,Color,Action,English,USA,Over 18,Joseph Gordon-Levitt,Spike Lee,23000,26982,0,0,6.0,158.0,160,7916887,45000000
Mirrors,30-07-2008,Color,Horror,English,USA,Over 18,Jason Flemyng,Alexandre Aja,1000,3185,192,5000,6.2,208.0,112,30691439,35000000
My Best Friend's Girl,04-02-2008,Color,Comedy,English,USA,Over 18,Dane Cook,Howard Deutch,1000,3301,41,0,5.9,80.0,112,19151864,40000000
Never Back Down,04-09-2008,Color,Action,English,USA,Teens,Djimon Hounsou,Jeff Wadlow,3000,4089,65,0,6.6,140.0,110,24848292,20000000
Nick and Norah's Infinite Playlist,03-06-2008,Color,Comedy,English,USA,Teens,Ari Graynor,Peter Sollett,904,2807,6,0,6.7,166.0,90,31487293,9000000
Nim's Island,15-05-2008,Color,Adventure,English,USA,Parental Guidance,Gerard Butler,Jennifer Flackett,18000,18178,3,0,6.0,139.0,96,48006503,37000000
One Missed Call,27-08-2008,Color,Horror,English,Japan,Teens,Johnny Lewis,Eric Valette,741,1834,2,0,3.9,141.0,87,26876529,27000000
Ong-bak 2,16-01-2008,Color,Action,Thai,Thailand,Over 18,Nirut Sirichanya,Tony Jaa,64,134,0,0,6.2,110.0,110,102055,300000000
Over Her Dead Body,16-02-2008,Color,Comedy,English,USA,Teens,Stephen Root,Jeff Lowell,939,3651,4,518,5.2,100.0,95,7563670,10000000
Pathology,02-05-2008,Color,Crime,English,USA,Over 18,John de Lancie,Marc SchÃ¶lermann,905,3185,3,3000,6.0,79.0,95,108662,8000000
Pineapple Express,21-04-2008,Color,Action,English,USA,Over 18,James Franco,David Gordon Green,11000,15590,234,0,7.0,232.0,117,87341380,27000000
Pontypool,09-01-2008,Color,Fantasy,English,Canada,Unrated,Stephen McHattie,Bruce McDonald,413,721,49,0,6.7,178.0,95,3478,1500000
Ponyo,23-06-2008,Color,Adventure,Japanese,Japan,General,Rumi Hiiragi,Hayao Miyazaki,6,13,6000,0,7.7,256.0,101,15081783,34000000
Pride and Glory,12-08-2008,Color,Crime,English,USA,Over 18,Jennifer Ehle,Gavin O'Connor,1000,5101,149,0,6.7,154.0,130,15709385,30000000
Prom Night,21-10-2008,Color,Horror,English,USA,Teens,Ming-Na Wen,Nelson McCormick,2000,4867,29,1000,3.9,146.0,89,43818159,20000000
Punisher: War Zone,19-08-2008,Color,Action,English,USA,Over 18,Julie Benz,Lexi Alexander,3000,6563,189,0,6.0,151.0,103,7948159,35000000
Quantum of Solace,18-08-2008,Color,Action,English,UK,Teens,Giancarlo Giannini,Marc Forster,451,2023,395,0,6.7,403.0,106,168368427,200000000
Quarantine,10-11-2008,Color,Horror,English,USA,Over 18,Andrew Fiscella,John Erick Dowdle,137000,140268,66,0,6.0,198.0,89,31691811,12000000
Red Cliff,28-09-2008,Color,Action,Mandarin,China,Over 18,Takeshi Kaneshiro,John Woo,755,2172,610,0,7.4,160.0,150,626809,553632000
Redbelt,15-07-2008,Color,Drama,English,USA,Over 18,Alice Braga,David Mamet,1000,2158,342,0,6.8,158.0,99,2344847,7000000
Religulous,27-12-2008,Color,Comedy,English,USA,Over 18,Bill Maher,Larry Charles,334,338,119,24000,7.7,197.0,101,12995673,2500000
Repo! The Genetic Opera,13-02-2008,Color,Horror,English,USA,Over 18,Alexa PenaVega,Darren Lynn Bousman,2000,4168,163,8000,6.7,147.0,150,140244,8500000
Revolutionary Road,22-01-2008,Color,Drama,English,USA,Over 18,Leonardo DiCaprio,Sam Mendes,29000,53895,0,0,7.3,323.0,119,22877808,35000000
Righteous Kill,04-01-2008,Color,Action,English,USA,Over 18,Robert De Niro,Jon Avnet,22000,38809,50,0,6.0,198.0,101,40076438,60000000
RocknRolla,20-07-2008,Color,Action,English,UK,Over 18,Tom Hardy,Guy Ritchie,27000,46944,0,12000,7.3,209.0,114,5694401,18000000
Role Models,13-07-2008,Color,Comedy,English,Germany,Over 18,Joe Lo Truglio,David Wain,833,3400,136,0,6.9,173.0,101,67266300,28000000
Saw V,27-01-2008,Color,Horror,English,USA,Over 18,Julie Benz,David Hackl,3000,5286,43,0,5.8,160.0,95,56729973,10800000
Semi-Pro,13-06-2008,Color,Comedy,English,USA,Over 18,Will Ferrell,Kent Alterman,8000,10026,3,0,5.8,164.0,99,33472850,55000000
Seven Pounds,03-05-2008,Color,Drama,English,USA,Teens,Will Smith,Gabriele Muccino,10000,14727,125,26000,7.7,202.0,123,69951824,55000000
Sex Drive,13-04-2008,Color,Adventure,English,USA,Over 18,Katrina Bowden,Sean Anders,948,4324,51,0,6.5,102.0,129,8396942,19000000
Shutter,11-02-2008,Color,Horror,English,USA,Teens,James Kyson,Masayuki Ochiai,449,1534,5,0,5.2,135.0,90,25926543,8000000
Sleep Dealer,09-06-2008,Color,Drama,Spanish,USA,Teens,Leonor Varela,Alex Rivera,426,862,8,0,5.9,47.0,90,75727,2500000
Slumdog Millionaire,02-05-2008,Color,Drama,English,UK,Over 18,Anil Kapoor,Danny Boyle,668,820,0,13000,8.0,418.0,120,141319195,15000000
Space Chimps,10-08-2008,Color,Adventure,English,USA,General,Cheryl Hines,Kirk De Micco,541,2268,16,279,4.5,85.0,81,30105968,37000000
Speed Racer,29-03-2008,Color,Action,English,USA,Parental Guidance,Scott Porter,Lana Wachowski,690,902,0,0,6.1,284.0,135,43929341,120000000
Step Brothers,25-09-2008,Color,Comedy,English,USA,Over 18,Will Ferrell,Adam McKay,8000,11264,285,0,6.9,173.0,106,100468793,65000000
Step Up 2: The Streets,14-07-2008,Color,Drama,English,USA,Teens,Cassie Ventura,Jon M. Chu,158,816,209,0,6.2,97.0,98,58006147,23000000
Stop-Loss,16-09-2008,Color,Drama,English,USA,Over 18,Joseph Gordon-Levitt,Kimberly Peirce,23000,43560,108,982,6.5,143.0,112,10911750,25000000
Strange Wilderness,25-02-2008,Color,Adventure,English,USA,Over 18,Kevin Alejandro,Fred Wolf,1000,4218,29,847,5.3,58.0,87,6563357,20000000
Street Kings,21-08-2008,Color,Action,English,USA,Over 18,Keanu Reeves,David Ayer,18000,33878,453,0,6.8,190.0,109,26415649,20000000
Sunshine Cleaning,22-07-2008,Color,Comedy,English,USA,Over 18,Clifton Collins Jr.,Christine Jeffs,968,2528,19,0,6.9,195.0,91,12055108,8000000
Superhero Movie,22-12-2008,Color,Action,English,USA,Teens,Drake Bell,Craig Mazin,1000,3266,82,0,4.5,121.0,82,25871834,35000000
"Surfer, Dude",18-05-2008,Color,Comedy,English,USA,Over 18,Matthew McConaughey,S.R. Bindler,11000,14599,0,850,4.7,26.0,85,36497,6000000
Swing Vote,18-06-2008,Color,Comedy,English,USA,Teens,Madeline Carroll,Joshua Michael Stern,1000,6212,0,1000,6.1,131.0,120,16284360,21000000
"Synecdoche, New York",29-11-2008,Color,Comedy,English,USA,Over 18,Philip Seymour Hoffman,Charlie Kaufman,22000,24732,0,13000,7.5,245.0,124,3081925,21000000
Taken,02-06-2008,Color,Action,English,France,Teens,Liam Neeson,Pierre Morel,14000,16461,180,29000,7.9,309.0,93,145000989,25000000
The Baader Meinhof Complex,21-12-2008,Color,Action,German,Germany,Over 18,Moritz Bleibtreu,Uli Edel,486,1601,34,0,7.4,160.0,184,476270,20000000
The Bank Job,04-07-2008,Color,Crime,English,UK,Over 18,Jason Statham,Roger Donaldson,26000,27755,79,0,7.3,222.0,111,30028592,20000000
The Boy in the Striped Pajamas,09-07-2008,Color,Drama,English,UK,Teens,Richard Johnson,Mark Herman,77,156,39,38000,7.8,185.0,94,9030581,12500000
The Brothers Bloom,10-10-2008,Color,Adventure,English,USA,Teens,Zachary Gordon,Rian Johnson,975,3014,0,0,6.9,182.0,114,3519627,20000000
The Children of Huang Shi,07-12-2008,Color,Drama,English,Australia,Over 18,Radha Mitchell,Roger Spottiswoode,991,1003,55,1000,7.1,67.0,125,1027749,40000000
The Chronicles of Narnia: Prince Caspian,12-04-2008,Color,Action,English,USA,Parental Guidance,Peter Dinklage,Andrew Adamson,22000,22697,80,0,6.6,258.0,150,141614023,225000000
The Curious Case of Benjamin Button,25-09-2008,Color,Drama,English,USA,Teens,Brad Pitt,David Fincher,11000,13333,21000,23000,7.8,362.0,166,127490802,150000000
The Dark Knight,09-05-2008,Color,Action,English,USA,Teens,Christian Bale,Christopher Nolan,23000,57802,22000,37000,9.0,645.0,152,533316061,185000000
The Day the Earth Stood Still,09-09-2008,Color,Drama,English,USA,Teens,Keanu Reeves,Scott Derrickson,18000,22194,301,0,5.5,276.0,104,79363785,80000000
The Duchess,30-03-2008,Color,Biography,English,UK,Teens,Dominic Cooper,Saul Dibb,3000,6420,10,0,6.9,194.0,110,13823741,13500000
The Express,04-04-2008,Black and White,Biography,English,USA,Parental Guidance,Dennis Quaid,Gary Fleder,2000,5162,39,0,7.3,86.0,130,9589875,40000000
